Date,Price,Open,High,Low,Vol.,Change %
04/30/2020,"1,407.78","1,383.96","1,418.42","1,383.96",189.32M,1.99%
04/29/2020,"1,380.30","1,372.39","1,386.23","1,372.17",122.36M,0.59%
04/28/2020,"1,372.20","1,371.98","1,377.37","1,367.44",145.15M,0.15%
04/27/2020,"1,370.16","1,371.60","1,378.40","1,370.16",74.71M,0.02%
04/24/2020,"1,369.85","1,376.17","1,377.71","1,367.49",143.98M,-0.85%
04/23/2020,"1,381.64","1,388.74","1,395.34","1,378.78",147.39M,-0.02%
04/22/2020,"1,381.89","1,366.40","1,383.09","1,359.54",190.82M,0.01%
04/21/2020,"1,381.73","1,407.23","1,407.23","1,381.73",166.17M,-2.22%
04/20/2020,"1,413.12","1,411.69","1,428.95","1,411.69",183.67M,0.41%
04/17/2020,"1,407.34","1,395.55","1,414.67","1,395.55",161.98M,1.50%
04/16/2020,"1,386.53","1,381.96","1,398.53","1,378.30",162.70M,-0.09%
04/15/2020,"1,387.79","1,375.62","1,394.66","1,375.12",166.22M,1.18%
04/14/2020,"1,371.66","1,361.01","1,373.80","1,357.83",114.40M,1.15%
04/13/2020,"1,356.03","1,357.94","1,359.68","1,352.78",73.13M,-0.11%
04/10/2020,"1,357.50","1,361.62","1,362.16","1,354.28",81.99M,-0.90%
04/09/2020,"1,369.76","1,368.89","1,371.35","1,366.53",131.79M,0.61%
04/08/2020,"1,361.39","1,366.46","1,367.16","1,358.20",149.27M,-0.62%
04/07/2020,"1,369.92","1,355.51","1,369.92","1,352.63",182.16M,2.10%
04/06/2020,"1,341.69","1,332.61","1,343.05","1,324.43",150.40M,0.83%
04/03/2020,"1,330.65","1,331.56","1,333.82","1,324.41",138.07M,-0.02%
04/02/2020,"1,330.90","1,320.62","1,332.61","1,316.94",154.38M,0.62%
04/01/2020,"1,322.66","1,344.90","1,344.90","1,322.66",189.04M,-2.09%
03/31/2020,"1,350.89","1,336.60","1,352.20","1,335.91",260.58M,1.66%
03/30/2020,"1,328.88","1,336.23","1,336.23","1,317.39",144.26M,-1.06%
03/27/2020,"1,343.09","1,335.57","1,353.35","1,335.57",194.26M,1.13%
03/26/2020,"1,328.09","1,333.73","1,336.74","1,309.21",173.84M,0.27%
03/25/2020,"1,324.50","1,322.19","1,341.86","1,304.97",208.58M,2.58%
03/24/2020,"1,291.14","1,271.34","1,311.22","1,271.34",199.94M,2.48%
03/23/2020,"1,259.88","1,249.50","1,275.26","1,241.46",250.85M,-3.33%
03/20/2020,"1,303.28","1,220.54","1,304.55","1,220.54",396.28M,6.85%
03/19/2020,"1,219.72","1,227.71","1,242.82","1,207.80",280.83M,-1.56%
03/18/2020,"1,239.01","1,254.43","1,275.23","1,226.26",292.18M,-1.40%
03/17/2020,"1,256.58","1,217.28","1,278.43","1,211.95",431.61M,-1.88%
03/16/2020,"1,280.63","1,319.37","1,319.37","1,278.48",343.90M,-4.77%
03/13/2020,"1,344.75","1,363.76","1,369.00","1,320.96",442.09M,-5.26%
03/12/2020,"1,419.43","1,431.41","1,432.70","1,419.43",232.86M,-1.69%
03/11/2020,"1,443.83","1,431.35","1,454.00","1,428.59",195.73M,0.93%
03/10/2020,"1,430.47","1,415.86","1,446.73","1,414.95",220.29M,0.44%
03/09/2020,"1,424.16","1,459.81","1,459.81","1,422.65",255.46M,-3.97%
03/06/2020,"1,483.10","1,486.84","1,486.84","1,479.74",169.36M,-0.53%
03/05/2020,"1,491.03","1,492.36","1,497.31","1,486.35",140.56M,0.07%
03/04/2020,"1,489.95","1,478.33","1,491.07","1,474.95",185.11M,0.76%
03/03/2020,"1,478.64","1,476.30","1,481.36","1,466.90",179.12M,0.80%
03/02/2020,"1,466.94","1,471.34","1,478.68","1,456.08",231.46M,-1.06%
02/28/2020,"1,482.64","1,484.90","1,494.09","1,473.77",312.20M,-1.52%
02/27/2020,"1,505.59","1,496.73","1,508.27","1,494.94",133.61M,0.70%
02/26/2020,"1,495.19","1,489.33","1,508.43","1,485.24",199.95M,-0.38%
02/25/2020,"1,500.88","1,481.46","1,503.30","1,481.46",174.20M,0.73%
02/24/2020,"1,490.06","1,501.47","1,510.42","1,486.71",255.64M,-2.69%
02/21/2020,"1,531.20","1,529.01","1,533.91","1,527.57",106.74M,-0.25%
02/20/2020,"1,534.98","1,537.10","1,540.18","1,531.15",125.66M,0.05%
02/19/2020,"1,534.16","1,539.22","1,539.90","1,530.83",100.67M,-0.19%
02/18/2020,"1,537.08","1,536.51","1,537.87","1,532.89",100.88M,0.00%
02/17/2020,"1,537.12","1,542.97","1,545.92","1,537.12",75.68M,-0.48%
02/14/2020,"1,544.46","1,538.72","1,544.46","1,534.97",95.27M,0.34%
