Price,Open,High,Low,Vol.,Change %
1715.04,1700.67,1715.69,1699.3,148180000.0,0.0074
1717.82,1720.5,1724.13,1716.37,168720000.0,0.0016
1717.58,1718.0,1719.74,1713.22,204480000.0,-0.0001
1710.55,1715.36,1720.27,1706.22,138370000.0,-0.0040999999999999995
1725.24,1709.0,1725.24,1709.0,121760000.0,0.0086
1718.08,1719.0,1722.13,1716.42,116420000.0,-0.0042
1717.01,1713.83,1722.75,1713.83,161800000.0,-0.0006
1724.29,1717.74,1724.29,1716.76,160910000.0,0.0042
1718.4,1718.44,1721.14,1714.23,131930000.0,-0.0034000000000000002
1715.28,1716.19,1716.19,1709.42,96450000.0,-0.0018
1715.0,1713.99,1716.66,1711.41,85360000.0,-0.0002
1723.11,1719.47,1726.3,1717.86,140810000.0,0.004699999999999999
1723.78,1722.31,1729.13,1721.1,130410000.0,0.0004
1727.99,1722.46,1727.99,1721.1,121470000.0,0.0024
1717.68,1719.79,1721.39,1710.44,121460000.0,-0.006
1711.15,1713.87,1717.7,1708.3,119290000.0,-0.0038
1708.91,1713.36,1715.43,1704.7,134440000.0,-0.0013
1721.47,1709.88,1721.47,1709.11,127650000.0,0.0073
1717.96,1719.66,1720.08,1715.18,93830000.0,-0.002
1714.51,1714.38,1717.0,1709.19,84520000.0,-0.002
1692.5,1713.9,1714.1,1692.5,125460000.0,-0.0128
1692.34,1689.65,1694.91,1682.48,118730000.0,-0.0001
1674.76,1688.7,1695.73,1671.21,257260000.0,-0.0104
1672.72,1671.52,1672.72,1660.92,206720000.0,-0.0012
1651.44,1674.51,1676.03,1649.79,148610000.0,-0.0127
1657.58,1644.77,1659.44,1636.05,186120000.0,0.0037
1645.09,1653.05,1653.05,1641.75,148190000.0,-0.0075
1649.36,1642.09,1651.42,1633.18,138080000.0,0.0026
1632.19,1647.37,1651.61,1632.19,127040000.0,-0.0104
1635.84,1628.9,1638.01,1614.4,158040000.0,0.0022
1644.58,1636.44,1646.96,1630.42,130690000.0,0.0053
1648.98,1640.09,1652.1,1639.17,125750000.0,0.0027
1628.26,1643.66,1645.14,1618.93,309830000.0,-0.0126
1621.21,1628.52,1628.52,1611.91,148400000.0,-0.0043
1633.39,1619.48,1634.41,1619.48,127370000.0,0.0075
1635.72,1624.75,1637.67,1621.46,157090000.0,0.0014000000000000002
1633.76,1621.08,1635.43,1621.08,158840000.0,-0.0012
1628.79,1634.83,1636.95,1628.79,129470000.0,-0.003
1634.89,1628.83,1634.89,1621.43,96420000.0,0.0037
1625.84,1631.27,1631.76,1625.81,140700000.0,-0.0055000000000000005
1630.96,1630.01,1631.12,1623.58,126600000.0,0.0031
